Title,Score,Type,Episodes,Start_Date,End_Date,Members
Sousou no Frieren,9.26,TV,28,Sep 2023,Mar 2024,"1,451,475 members"
Steel Ball Run: JoJo no Kimyou na Bouken,9.13,ONA,?,Mar 2026 -,Ongoing,"209,741 members"
Fullmetal Alchemist: Brotherhood,9.11,TV,64,Apr 2009,Jul 2010,"3,692,863 members"
Chainsaw Man Movie: Reze-hen,9.07,Movie,1,Sep 2025,Sep 2025,"489,806 members"
Steins;Gate,9.07,TV,24,Apr 2011,Sep 2011,"2,820,389 members"
Gintama: The Final,9.05,Movie,1,Jan 2021,Jan 2021,"184,934 members"
Gintama°,9.05,TV,51,Apr 2015,Mar 2016,"693,380 members"
Shingeki no Kyojin Season 3 Part 2,9.05,TV,10,Apr 2019,Jul 2019,"2,601,296 members"
Hunter x Hunter (2011),9.03,TV,148,Oct 2011,Sep 2014,"3,197,773 members"
Ginga Eiyuu Densetsu,9.02,OVA,110,Jan 1988,Mar 1997,"364,462 members"
Gintama',9.02,TV,51,Apr 2011,Mar 2012,"615,941 members"
Gintama': Enchousen,9.02,TV,13,Oct 2012,Mar 2013,"359,080 members"
One Piece Fan Letter,9.01,TV Special,1,Oct 2024,Oct 2024,"157,336 members"
Bleach: Sennen Kessen-hen,8.98,TV,13,Oct 2022,Dec 2022,"710,268 members"
Gintama.,8.98,TV,12,Jan 2017,Mar 2017,"349,773 members"
Kaguya-sama wa Kokurasetai: Ultra Romantic,8.95,TV,13,Apr 2022,Jun 2022,"1,116,785 members"
Re:Zero kara Hajimeru Isekai Seikatsu 4th Season,8.95,TV,19,Apr 2026 -,Ongoing,"238,867 members"
Clannad: After Story,8.93,TV,24,Oct 2008,Mar 2009,"1,288,963 members"
Fruits Basket: The Final,8.93,TV,13,Apr 2021,Jun 2021,"565,572 members"
Gintama,8.93,TV,201,Apr 2006,Mar 2010,"1,158,285 members"
Koe no Katachi,8.93,Movie,1,Sep 2016,Sep 2016,"2,624,541 members"
Code Geass: Hangyaku no Lelouch R2,8.92,TV,25,Apr 2008,Sep 2008,"1,960,525 members"
Kusuriya no Hitorigoto 2nd Season,8.91,TV,24,Jan 2025,Jul 2025,"512,204 members"
3-gatsu no Lion 2nd Season,8.90,TV,22,Oct 2017,Mar 2018,"439,714 members"
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.89,Movie,1,Jul 2013,Jul 2013,"263,062 members"
Monster,8.89,TV,74,Apr 2004,Sep 2005,"1,335,126 members"
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,TV,14,Jul 2018,Oct 2018,"226,997 members"
Sousou no Frieren 2nd Season,8.88,TV,10,Jan 2026,Mar 2026,"550,264 members"
Owarimonogatari 2nd Season,8.86,TV Special,7,Aug 2017,Aug 2017,"438,393 members"
Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.86,TV Special,2,Mar 2023,Nov 2023,"872,071 members"
Kingdom 3rd Season,8.85,TV,26,Apr 2020,Oct 2021,"134,969 members"
Kusuriya no Hitorigoto,8.85,TV,24,Oct 2023,Mar 2024,"850,983 members"
Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.83,Movie,1,Nov 2024,Nov 2024,"91,082 members"
Violet Evergarden Movie,8.83,Movie,1,Sep 2020,Sep 2020,"732,042 members"
Kimi no Na wa.,8.82,Movie,1,Aug 2016,Aug 2016,"3,035,017 members"
