Title,Score,Type,Episodes,Start_Date,End_Date,Members,Duration_months,Score_group
steel ball run: jojo no kimyou na bouken,9.13,ONA,12.0,2026-03-01 00:00:00.000000,2026-06-02 18:41:23.383765,209741,3,Top
gintama: the final,9.05,Movie,1.0,2021-01-01 00:00:00.000000,2021-01-01 00:00:00.000000,184934,0,Top
one piece fan letter,9.01,TV Special,1.0,2024-10-01 00:00:00.000000,2024-10-01 00:00:00.000000,157336,0,Top
kingdom 3rd season,8.85,TV,26.0,2020-04-01 00:00:00.000000,2021-10-01 00:00:00.000000,134969,18,High
shingeki no kyojin movie: kanketsu-hen - the last attack,8.83,Movie,1.0,2024-11-01 00:00:00.000000,2024-11-01 00:00:00.000000,91082,0,High
ashita no joe 2,8.8,TV,47.0,1980-10-01 00:00:00.000000,1981-08-01 00:00:00.000000,68462,10,High
ikoku nikki,8.74,TV,13.0,2026-01-01 00:00:00.000000,2026-03-01 00:00:00.000000,112887,2,High
hibike! euphonium 3,8.73,TV,13.0,2024-04-01 00:00:00.000000,2024-06-01 00:00:00.000000,98850,2,High
kingdom 4th season,8.73,TV,26.0,2022-04-01 00:00:00.000000,2022-10-01 00:00:00.000000,91453,6,High
kingdom 5th season,8.72,TV,13.0,2024-01-01 00:00:00.000000,2024-03-01 00:00:00.000000,63604,2,High
shouwa genroku rakugo shinjuu: sukeroku futatabi-hen,8.7,TV,12.0,2017-01-01 00:00:00.000000,2017-03-01 00:00:00.000000,202387,2,High
the first slam dunk,8.7,Movie,1.0,2022-12-01 00:00:00.000000,2022-12-01 00:00:00.000000,77746,0,High
kingdom 6th season,8.67,TV,13.0,2025-10-01 00:00:00.000000,2025-12-01 00:00:00.000000,39739,2,High
uma musume: cinderella gray part 2,8.67,TV,10.0,2025-10-01 00:00:00.000000,2025-12-01 00:00:00.000000,67507,2,High
mo dao zu shi: wanjie pian,8.66,ONA,12.0,2021-08-01 00:00:00.000000,2021-10-01 00:00:00.000000,96829,2,High
luo xiaohei zhanji 2,8.65,Movie,1.0,2025-07-01 00:00:00.000000,2025-07-01 00:00:00.000000,11925,0,High
monogatari series: off & monster season,8.64,ONA,14.0,2024-07-01 00:00:00.000000,2024-10-01 00:00:00.000000,104375,3,High
tian guan cifu er,8.64,ONA,12.0,2023-10-01 00:00:00.000000,2024-01-01 00:00:00.000000,65438,3,High
uma musume: pretty derby - shin jidai no tobira,8.64,Movie,1.0,2024-05-01 00:00:00.000000,2024-05-01 00:00:00.000000,59866,0,High
shiguang dailiren ii,8.63,ONA,12.0,2023-07-01 00:00:00.000000,2023-09-01 00:00:00.000000,173362,2,High
guimi zhi zhu: xiaochou pian,8.61,ONA,13.0,2025-06-01 00:00:00.000000,2025-08-01 00:00:00.000000,210834,2,High
natsume yuujinchou roku,8.61,TV,11.0,2017-04-01 00:00:00.000000,2017-06-01 00:00:00.000000,206301,2,High
chiikawa,8.6,TV,12.0,2022-04-01 00:00:00.000000,2026-06-02 18:41:23.383765,21605,50,High
doupo cangqiong: san nian zhi yue,8.58,ONA,13.0,2021-10-01 00:00:00.000000,2022-01-01 00:00:00.000000,11576,3,High
mushishi zoku shou: suzu no shizuku,8.58,Movie,1.0,2015-05-01 00:00:00.000000,2015-05-01 00:00:00.000000,141351,0,High
natsume yuujinchou shichi,8.58,TV,12.0,2024-10-01 00:00:00.000000,2024-12-01 00:00:00.000000,59227,2,High
uma musume: cinderella gray,8.57,TV,13.0,2025-04-01 00:00:00.000000,2025-06-01 00:00:00.000000,103964,2,High
